Name,ISIN,Coupon Rate,Issue Date,Maturity Date,Date,Close,Dirty
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/6,99.64,100.015
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/7,99.63,100.005
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/8,99.63,100.005
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/9,99.63,100.005
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/10,99.64,100.015
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/13,99.64,100.015
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/14,99.64,100.015
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/15,99.66,100.035
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/16,99.67,100.045
CANADA 22/25,CA135087N340,0.015,1/24/2022,2025/4/1,2025/1/17,99.7,100.075
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/6,100,100.75
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/7,99.98,100.73
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/8,99.98,100.73
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/9,99.99,100.74
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/10,99.91,100.66
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/13,99.88,100.63
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/14,99.86,100.61
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/15,99.91,100.66
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/16,100,100.75
CANADA 22/25,CA135087P246,0.03,7/25/2022,2025/10/1,2025/1/17,100.01,100.76
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/6,98.15,98.275
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/7,98.13,98.255
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/8,98.15,98.275
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/9,98.15,98.275
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/10,97.99,98.115
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/13,97.92,98.045
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/14,97.86,97.985
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/15,97.97,98.095
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/16,98.11,98.235
CDA 2026,CA135087E679,0.015,7/21/2015,2026/6/1,2025/1/17,98.17,98.295
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/6,97.01,97.34333333
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/7,96.99,97.32333333
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/8,97,97.33333333
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/9,97.03,97.36333333
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/10,96.86,97.19333333
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/13,96.77,97.10333333
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/14,96.71,97.04333333
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/15,96.85,97.18333333
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/16,97.03,97.36333333
CANADA 21/26,CA135087L930,0.01,4/16/2021,2026/9/1,2025/1/17,97.07,97.40333333
CDA 2027,CA135087F825,0.01,8/3/2016,2027/6/1,2025/1/6,95.84,95.92333333
CDA 2027,CA135087F825,0.01,8/3/2016,2027/6/1,2025/1/7,95.81,95.89333333
CDA 2027,CA135087F825,0.01,8/3/2016,2027/6/1,2025/1/8,95.81,95.89333333
CDA 2027,CA135087F825,0.01,8/3/2016,2027/6/1,2025/1/9,95.85,95.93333333
CDA 2027,CA135087F825,0.01,8/3/2016,2027/6/1,2025/1/10,95.56,95.64333333
CDA 2027,CA135087F825,0.01,8/3/2016,2027/6/1,2025/1/13,95.44,95.52333333
CDA 2027,CA135087F825,0.01,8/3/2016,2027/6/1,2025/1/14,95.34,95.42333333
CDA 2027,CA135087F825,0.01,8/3/2016,2027/6/1,2025/1/15,95.52,95.60333333
CDA 2027,CA135087F825,0.01,8/3/2016,2027/6/1,2025/1/16,95.75,95.83333333
CDA 2027,CA135087F825,0.01,8/3/2016,2027/6/1,2025/1/17,95.76,95.84333333
CANADA 22/27,CA135087N837,0.0275,5/13/2022,2027/9/1,2025/1/6,99.63,100.5466667
CANADA 22/27,CA135087N837,0.0275,5/13/2022,2027/9/1,2025/1/7,99.56,100.4766667
CANADA 22/27,CA135087N837,0.0275,5/13/2022,2027/9/1,2025/1/8,99.54,100.4566667
CANADA 22/27,CA135087N837,0.0275,5/13/2022,2027/9/1,2025/1/9,99.58,100.4966667
CANADA 22/27,CA135087N837,0.0275,5/13/2022,2027/9/1,2025/1/10,99.27,100.1866667
CANADA 22/27,CA135087N837,0.0275,5/13/2022,2027/9/1,2025/1/13,99.13,100.0466667
CANADA 22/27,CA135087N837,0.0275,5/13/2022,2027/9/1,2025/1/14,99.02,99.93666667
CANADA 22/27,CA135087N837,0.0275,5/13/2022,2027/9/1,2025/1/15,99.2,100.1166667
CANADA 22/27,CA135087N837,0.0275,5/13/2022,2027/9/1,2025/1/16,99.5,100.4166667
CANADA 22/27,CA135087N837,0.0275,5/13/2022,2027/9/1,2025/1/17,99.53,100.4466667
CDA 2028,CA135087H235,0.02,8/1/2017,2028/6/1,2025/1/6,97.14,97.30666667
CDA 2028,CA135087H235,0.02,8/1/2017,2028/6/1,2025/1/7,97.07,97.23666667
CDA 2028,CA135087H235,0.02,8/1/2017,2028/6/1,2025/1/8,96.97,97.13666667
CDA 2028,CA135087H235,0.02,8/1/2017,2028/6/1,2025/1/9,97,97.16666667
CDA 2028,CA135087H235,0.02,8/1/2017,2028/6/1,2025/1/10,96.71,96.87666667
CDA 2028,CA135087H235,0.02,8/1/2017,2028/6/1,2025/1/13,96.48,96.64666667
CDA 2028,CA135087H235,0.02,8/1/2017,2028/6/1,2025/1/14,96.3,96.46666667
CDA 2028,CA135087H235,0.02,8/1/2017,2028/6/1,2025/1/15,96.55,96.71666667
CDA 2028,CA135087H235,0.02,8/1/2017,2028/6/1,2025/1/16,96.97,97.13666667
CDA 2028,CA135087H235,0.02,8/1/2017,2028/6/1,2025/1/17,97.08,97.24666667
CANADA 23/28,CA135087Q491,0.0325,4/21/2023,2028/9/1,2025/1/6,101.1,102.1833333
CANADA 23/28,CA135087Q491,0.0325,4/21/2023,2028/9/1,2025/1/7,101.14,102.2233333
CANADA 23/28,CA135087Q491,0.0325,4/21/2023,2028/9/1,2025/1/8,100.99,102.0733333
CANADA 23/28,CA135087Q491,0.0325,4/21/2023,2028/9/1,2025/1/9,100.94,102.0233333
CANADA 23/28,CA135087Q491,0.0325,4/21/2023,2028/9/1,2025/1/10,100.79,101.8733333
CANADA 23/28,CA135087Q491,0.0325,4/21/2023,2028/9/1,2025/1/13,100.49,101.5733333
CANADA 23/28,CA135087Q491,0.0325,4/21/2023,2028/9/1,2025/1/14,100.19,101.2733333
CANADA 23/28,CA135087Q491,0.0325,4/21/2023,2028/9/1,2025/1/15,100.42,101.5033333
CANADA 23/28,CA135087Q491,0.0325,4/21/2023,2028/9/1,2025/1/16,100.92,102.0033333
CANADA 23/28,CA135087Q491,0.0325,4/21/2023,2028/9/1,2025/1/17,101.02,102.1033333
CDA 18/29,CA135087J397,0.0225,7/27/2018,2029/6/1,2025/1/6,97.44,97.6275
CDA 18/29,CA135087J397,0.0225,7/27/2018,2029/6/1,2025/1/7,97.48,97.6675
CDA 18/29,CA135087J397,0.0225,7/27/2018,2029/6/1,2025/1/8,97.28,97.4675
CDA 18/29,CA135087J397,0.0225,7/27/2018,2029/6/1,2025/1/9,97.2,97.3875
CDA 18/29,CA135087J397,0.0225,7/27/2018,2029/6/1,2025/1/10,96.97,97.1575
CDA 18/29,CA135087J397,0.0225,7/27/2018,2029/6/1,2025/1/13,96.65,96.8375
CDA 18/29,CA135087J397,0.0225,7/27/2018,2029/6/1,2025/1/14,96.32,96.5075
CDA 18/29,CA135087J397,0.0225,7/27/2018,2029/6/1,2025/1/15,96.57,96.7575
CDA 18/29,CA135087J397,0.0225,7/27/2018,2029/6/1,2025/1/16,97.11,97.2975
CDA 18/29,CA135087J397,0.0225,7/27/2018,2029/6/1,2025/1/17,97.23,97.4175
CANADA 22/29,CA135087N670,0.0225,3/29/2022,2029/12/1,2025/1/6,96.6,96.7875
CANADA 22/29,CA135087N670,0.0225,3/29/2022,2029/12/1,2025/1/7,96.63,96.8175
CANADA 22/29,CA135087N670,0.0225,3/29/2022,2029/12/1,2025/1/8,96.42,96.6075
CANADA 22/29,CA135087N670,0.0225,3/29/2022,2029/12/1,2025/1/9,96.34,96.5275
CANADA 22/29,CA135087N670,0.0225,3/29/2022,2029/12/1,2025/1/10,96.25,96.4375
CANADA 22/29,CA135087N670,0.0225,3/29/2022,2029/12/1,2025/1/13,95.77,95.9575
CANADA 22/29,CA135087N670,0.0225,3/29/2022,2029/12/1,2025/1/14,95.38,95.5675
CANADA 22/29,CA135087N670,0.0225,3/29/2022,2029/12/1,2025/1/15,95.65,95.8375
CANADA 22/29,CA135087N670,0.0225,3/29/2022,2029/12/1,2025/1/16,96.22,96.4075
CANADA 22/29,CA135087N670,0.0225,3/29/2022,2029/12/1,2025/1/17,96.35,96.5375
