Bond Name,Coupon Rate,Date,Maturity Date,Close,Spot Rate
CANADA 22/25,0.015,2025-01-06,2025-04-01,99.64,0.03169008584822386
CANADA 22/25,0.03,2025-01-06,2025-10-01,100.0,0.030669865644413097
CDA 2026,0.015,2025-01-06,2026-06-01,98.15,0.028738285336600722
CANADA 21/26,0.01,2025-01-06,2026-09-01,97.01,0.028816195148172685
CDA 2027,0.01,2025-01-06,2027-06-01,95.84,0.02810337646912231
CANADA 22/27,0.0275,2025-01-06,2027-09-01,99.63,0.02916729111426042
CDA 2028,0.02,2025-01-06,2028-06-01,97.14,0.028992981697157028
CANADA 23/28,0.0325,2025-01-06,2028-09-01,101.1,0.029494718165308687
CDA 18/29,0.0225,2025-01-06,2029-06-01,97.44,0.028811281129568656
CANADA 22/29,0.0225,2025-01-06,2029-12-01,96.6,0.030148393398657714
CANADA 22/25,0.015,2025-01-07,2025-04-01,99.63,0.03251185285520464
CANADA 22/25,0.03,2025-01-07,2025-10-01,99.98,0.03106400029701062
CDA 2026,0.015,2025-01-07,2026-06-01,98.13,0.028942294346084196
CANADA 21/26,0.01,2025-01-07,2026-09-01,96.99,0.028992074016405134
CDA 2027,0.01,2025-01-07,2027-06-01,95.81,0.028268689109940848
CANADA 22/27,0.0275,2025-01-07,2027-09-01,99.56,0.029479325353583885
CDA 2028,0.02,2025-01-07,2028-06-01,97.07,0.029238477491819292
CANADA 23/28,0.0325,2025-01-07,2028-09-01,101.14,0.02938476320051775
CDA 18/29,0.0225,2025-01-07,2029-06-01,97.48,0.02871953423613105
CANADA 22/29,0.0225,2025-01-07,2029-12-01,96.63,0.03008948133336986
CANADA 22/25,0.015,2025-01-08,2025-04-01,99.63,0.03290676697033046
CANADA 22/25,0.03,2025-01-08,2025-10-01,99.98,0.031181909572251865
CDA 2026,0.015,2025-01-08,2026-06-01,98.15,0.028848787978409174
CANADA 21/26,0.01,2025-01-08,2026-09-01,97.0,0.02897705760249014
CDA 2027,0.01,2025-01-08,2027-06-01,95.81,0.028301750833430894
CANADA 22/27,0.0275,2025-01-08,2027-09-01,99.54,0.029593817302402403
CDA 2028,0.02,2025-01-08,2028-06-01,96.97,0.029589033810835996
CANADA 23/28,0.0325,2025-01-08,2028-09-01,100.99,0.02986082810550572
CDA 18/29,0.0225,2025-01-08,2029-06-01,97.28,0.02924825114808227
CANADA 22/29,0.0225,2025-01-08,2029-12-01,96.42,0.03059353586804603
CANADA 22/25,0.015,2025-01-09,2025-04-01,99.63,0.03331139269847583
CANADA 22/25,0.03,2025-01-09,2025-10-01,99.99,0.031159501659431044
CDA 2026,0.015,2025-01-09,2026-06-01,98.15,0.028906188273448485
CANADA 21/26,0.01,2025-01-09,2026-09-01,97.03,0.028832702172448155
CDA 2027,0.01,2025-01-09,2027-06-01,95.85,0.02815475597888062
CANADA 22/27,0.0275,2025-01-09,2027-09-01,99.58,0.029465408649242075
CDA 2028,0.02,2025-01-09,2028-06-01,97.0,0.02951877453831786
CANADA 23/28,0.0325,2025-01-09,2028-09-01,100.94,0.030043622972386164
CDA 18/29,0.0225,2025-01-09,2029-06-01,97.2,0.029477021930190084
CANADA 22/29,0.0225,2025-01-09,2029-12-01,96.34,0.030801678118933307
CANADA 22/25,0.015,2025-01-10,2025-04-01,99.64,0.03326797408710247
CANADA 22/25,0.03,2025-01-10,2025-10-01,99.91,0.03241554409805669
CDA 2026,0.015,2025-01-10,2026-06-01,97.99,0.03016709951596175
CANADA 21/26,0.01,2025-01-10,2026-09-01,96.86,0.0299751052470536
CDA 2027,0.01,2025-01-10,2027-06-01,95.56,0.02948931278892264
CANADA 22/27,0.0275,2025-01-10,2027-09-01,99.27,0.0307352095284128
CDA 2028,0.02,2025-01-10,2028-06-01,96.71,0.030459602706566002
CANADA 23/28,0.0325,2025-01-10,2028-09-01,100.79,0.030467775696914057
CDA 18/29,0.0225,2025-01-10,2029-06-01,96.97,0.03005142031527308
CANADA 22/29,0.0225,2025-01-10,2029-12-01,96.25,0.03098883813573705
CANADA 22/25,0.015,2025-01-13,2025-04-01,99.64,0.03455850431826324
CANADA 22/25,0.03,2025-01-13,2025-10-01,99.88,0.033222815525934646
CDA 2026,0.015,2025-01-13,2026-06-01,97.92,0.030877171414978477
CANADA 21/26,0.01,2025-01-13,2026-09-01,96.77,0.0307117023751311
CDA 2027,0.01,2025-01-13,2027-06-01,95.44,0.030132675574668255
CANADA 22/27,0.0275,2025-01-13,2027-09-01,99.13,0.03139599968101381
CDA 2028,0.02,2025-01-13,2028-06-01,96.48,0.031276269062888495
CANADA 23/28,0.0325,2025-01-13,2028-09-01,100.49,0.03143097290017227
CDA 18/29,0.0225,2025-01-13,2029-06-01,96.65,0.0309152178046479
CANADA 22/29,0.0225,2025-01-13,2029-12-01,95.77,0.03215655555897223
CANADA 22/25,0.015,2025-01-14,2025-04-01,99.64,0.03501122184597305
CANADA 22/25,0.03,2025-01-14,2025-10-01,99.86,0.03364043249848958
CDA 2026,0.015,2025-01-14,2026-06-01,97.86,0.03139509625558512
CANADA 21/26,0.01,2025-01-14,2026-09-01,96.71,0.03115383092320778
CDA 2027,0.01,2025-01-14,2027-06-01,95.34,0.030620314207334687
CANADA 22/27,0.0275,2025-01-14,2027-09-01,99.02,0.03187301504705742
CDA 2028,0.02,2025-01-14,2028-06-01,96.3,0.031885134245017266
CANADA 23/28,0.0325,2025-01-14,2028-09-01,100.19,0.032358732854428585
CDA 18/29,0.0225,2025-01-14,2029-06-01,96.32,0.03177690340396744
CANADA 22/29,0.0225,2025-01-14,2029-12-01,95.38,0.03308382843722901
CANADA 22/25,0.015,2025-01-15,2025-04-01,99.66,0.03449887254482187
CANADA 22/25,0.03,2025-01-15,2025-10-01,99.91,0.033051999009807265
CDA 2026,0.015,2025-01-15,2026-06-01,97.97,0.030622012572265156
CANADA 21/26,0.01,2025-01-15,2026-09-01,96.85,0.030296146485746966
CDA 2027,0.01,2025-01-15,2027-06-01,95.52,0.029841947221984633
CANADA 22/27,0.0275,2025-01-15,2027-09-01,99.2,0.031185852008063453
CDA 2028,0.02,2025-01-15,2028-06-01,96.55,0.031107119264018657
CANADA 23/28,0.0325,2025-01-15,2028-09-01,100.42,0.03171384263262267
CDA 18/29,0.0225,2025-01-15,2029-06-01,96.57,0.03117394353121128
CANADA 22/29,0.0225,2025-01-15,2029-12-01,95.65,0.03248874459228679
CANADA 22/25,0.015,2025-01-16,2025-04-01,99.67,0.03446793892442779
CANADA 22/25,0.03,2025-01-16,2025-10-01,100.0,0.03187684917562139
CDA 2026,0.015,2025-01-16,2026-06-01,98.11,0.02961960332022029
CANADA 21/26,0.01,2025-01-16,2026-09-01,97.03,0.02917775324281635
CDA 2027,0.01,2025-01-16,2027-06-01,95.75,0.02883830650374053
CANADA 22/27,0.0275,2025-01-16,2027-09-01,99.5,0.030010524040954056
CDA 2028,0.02,2025-01-16,2028-06-01,96.97,0.02977939027353882
CANADA 23/28,0.0325,2025-01-16,2028-09-01,100.92,0.030258332504790264
CDA 18/29,0.0225,2025-01-16,2029-06-01,97.11,0.02983436687622465
CANADA 22/29,0.0225,2025-01-16,2029-12-01,96.22,0.03120168061031725
CANADA 22/25,0.015,2025-01-17,2025-04-01,99.7,0.03343364690459305
CANADA 22/25,0.03,2025-01-17,2025-10-01,100.01,0.031862977257214986
CDA 2026,0.015,2025-01-17,2026-06-01,98.17,0.029223325364299058
CANADA 21/26,0.01,2025-01-17,2026-09-01,97.07,0.02896862107147813
CDA 2027,0.01,2025-01-17,2027-06-01,95.76,0.028829928487660972
CANADA 22/27,0.0275,2025-01-17,2027-09-01,99.53,0.029925467065112343
CDA 2028,0.02,2025-01-17,2028-06-01,97.08,0.029448148439762623
CANADA 23/28,0.0325,2025-01-17,2028-09-01,101.02,0.029986634915240895
CDA 18/29,0.0225,2025-01-17,2029-06-01,97.23,0.02955161471679224
CANADA 22/29,0.0225,2025-01-17,2029-12-01,96.35,0.03092184148381172
